cmapSize, cmapNo, bufferSize, decayFactor, rebuildThreshold, ed, mem
10, 5, 30, 0.2, 0.7, 0.2713090209258545, 2952
10, 5, 30, 0.5, 0.01, 0.09626819044304144, 4872
10, 5, 30, 0.5, 0.09, 0.10159059544710354, 4872
10, 5, 30, 0.5, 0.3, 0.08120000831423481, 4872
10, 5, 30, 0.5, 0.5, 0.2713090209258545, 4872
10, 5, 30, 0.5, 0.7, 0.2713090209258545, 2952
10, 5, 30, 1.0, 0.01, 0.07509333752128929, 4872
10, 5, 30, 1.0, 0.09, 0.07659240962246781, 4872
10, 5, 30, 1.0, 0.3, 0.059505838606409615, 4872
10, 5, 30, 1.0, 0.5, 0.2713090209258545, 4872
10, 5, 30, 1.0, 0.7, 0.2713090209258545, 2952
10, 5, 30, 2.0, 0.01, 0.04899027498314909, 4872
10, 5, 30, 2.0, 0.09, 0.048567263477312196, 4872
10, 5, 30, 2.0, 0.3, 0.029915503824626155, 4872
10, 5, 30, 2.0, 0.5, 0.2713090209258545, 4872
10, 5, 30, 2.0, 0.7, 0.2713090209258545, 2952
10, 5, 30, 2.5, 0.01, 0.04507406130886565, 4872
10, 5, 30, 2.5, 0.09, 0.044823386240081003, 4872
10, 5, 30, 2.5, 0.3, 0.022084725399881208, 4872
10, 5, 30, 2.5, 0.5, 0.2713090209258545, 4872
10, 5, 30, 2.5, 0.7, 0.2713090209258545, 2952
10, 5, 70, 0.2, 0.01, 0.07118079614451497, 4872
10, 5, 70, 0.2, 0.09, 0.07618258278580917, 4872
10, 5, 70, 0.2, 0.3, 0.09181305197605658, 4872
10, 5, 70, 0.2, 0.5, 0.2713090209258545, 3912
10, 5, 70, 0.2, 0.7, 0.2713090209258545, 2952
10, 5, 70, 0.5, 0.01, 0.05878988413464175, 4872
10, 5, 70, 0.5, 0.09, 0.06457849453147127, 4872
10, 5, 70, 0.5, 0.3, 0.07634006330883378, 4872
10, 5, 70, 0.5, 0.5, 0.2713090209258545, 3912
10, 5, 70, 0.5, 0.7, 0.2713090209258545, 2952
10, 5, 70, 1.0, 0.01, 0.04947111833859062, 4872
10, 5, 70, 1.0, 0.09, 0.04529728995202303, 4872
10, 5, 70, 1.0, 0.3, 0.056695524918172174, 4872
10, 5, 70, 1.0, 0.5, 0.2713090209258545, 3912
10, 5, 70, 1.0, 0.7, 0.2713090209258545, 2952
10, 5, 70, 2.0, 0.01, 0.026083161379120087, 4872
10, 5, 70, 2.0, 0.09, 0.035839872302180144, 4872
10, 5, 70, 2.0, 0.3, 0.030751171756100405, 4872
10, 5, 70, 2.0, 0.5, 0.2713090209258545, 3912
10, 5, 70, 2.0, 0.7, 0.2713090209258545, 2952
10, 5, 70, 2.5, 0.01, 0.024254857448099118, 4872
10, 5, 70, 2.5, 0.09, 0.036090648418842165, 4872
10, 5, 70, 2.5, 0.3, 0.023616107351227465, 4872
10, 5, 70, 2.5, 0.5, 0.2713090209258545, 3912
10, 5, 70, 2.5, 0.7, 0.2713090209258545, 2952
10, 5, 120, 0.2, 0.01, 0.055874919521606156, 4872
10, 5, 120, 0.2, 0.09, 0.08636569155146816, 4872
10, 5, 120, 0.2, 0.3, 0.08636569155146816, 4872
10, 5, 120, 0.2, 0.5, 0.2713090209258545, 3912
